0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
IBM Confidential																								
Pricing Information																								
GV	SVP level for this quote										Totals													
USD	Currency														Points	Price								
2025-12-19	Pricing date										Total for Software Parts:				5283.6	265564.6								
Parts and pricing for exported Software parts from Partner guided selling																								
Part number	Part description	Brand	Part type	SW Value Plus product group	SW Value Plus terms	Quantity	Line item dates		Prorate months	Compressed coverage months	Renewal quote number	Item points	Entitled unit price	Total points	Bid unit price	Entitled extended price	End user discount	Bid extended price	BP discount	BP override discount	BP extended price	Total line discount	Recomm. Reseller / Entitled price	Is BP discount QP?
							Start date	End date																
																								
D29HYLL	IBM Maximo Application Suite per AppPoint from Eligible Programs Trade Up Licence + SW Subscription & Support 12 Months	Internet of Things	CTL Upgrades; Level 0 RPAExclusionSpecial - 65%	Internet of Things	SW Value Plus Authorized	315	19-Dec-2025	31-Dec-2026				3.58	733	1127.7	299.67	230895	0.59117	94396.05	0.08	0	86845.5	0.67117		
E0R1HLL	IBM Maximo Application Suite per AppPoint Annual SW Subscription & Support Renewal	Internet of Things	Level 0 RPAExclusionStandard Geo 85%	Internet of Things	SW Value Plus Authorized	315	01-Jan-2027	31-Dec-2027				2.65	543	834.75	233.16	171045	0.57061	73445.4	0.03	0	71243.55	0.60061		
E0R1HLL	IBM Maximo Application Suite per AppPoint Annual SW Subscription & Support Renewal	Internet of Things	Level 0 RPAExclusionStandard Geo 85%	Internet of Things	SW Value Plus Authorized	315	01-Jan-2028	31-Dec-2028				2.65	271.5	834.75	122.41	85522.5	0.54913	38559.15	0.03	0	37403.1	0.57913		
D0GL1ZX	IBM Maximo IT per AppPoint from Eligible Programs Trade Up Licence + SW Subscription & Support 12 Months	Internet of Things	New CTL; Royalty/Standard 85%Standard Geo 85%	Internet of Things	SW Value Plus Authorized	280	19-Dec-2025	31-Dec-2026				3.58	733	1002.4	96.63	205240	0.86817	27056.4	0.08	0	24892	0.94817		
E0GKGZX	IBM Maximo IT per AppPoint Annual SW Subscription & Support Renewal	Internet of Things	Royalty/Standard 85%Standard Geo 85%	Internet of Things	SW Value Plus Authorized	280	01-Jan-2027	31-Dec-2027				2.65	543	742	75.19	152040	0.86153	21053.2	0.03	0	20420.4	0.89153		
E0GKGZX	IBM Maximo IT per AppPoint Annual SW Subscription & Support Renewal	Internet of Things	Royalty/Standard 85%Standard Geo 85%	Internet of Things	SW Value Plus Authorized	280	01-Jan-2028	31-Dec-2028				2.65	271.5	742	39.48	76020	0.85459	11054.4	0.03	0	10724	0.88459		
Total for Software Parts														5283.6		920762.5	0.71158	265564.6			251528.55	0.7268300000000001		
