2025-12-20 16:52:50,326 INFO Row 1: SKU=nan, Desc=IBM Maximo Application Suite per AppPoint from Eligible Programs Trade Up Licence + SW Subscription & Support 12 Months, Qty=315, Start=19-Dec-2025, End=0, Cost=0
2025-12-20 16:52:50,328 INFO Row 2: SKU=nan, Desc=IBM Maximo Application Suite per AppPoint Annual SW Subscription & Support Renewal, Qty=315, Start=01-Jan-2027, End=0, Cost=0
2025-12-20 16:52:50,331 INFO Row 3: SKU=nan, Desc=IBM Maximo Application Suite per AppPoint Annual SW Subscription & Support Renewal, Qty=315, Start=01-Jan-2028, End=0, Cost=0
2025-12-20 16:52:50,333 INFO Row 4: SKU=nan, Desc=IBM Maximo IT per AppPoint from Eligible Programs Trade Up Licence + SW Subscription & Support 12 Months, Qty=280, Start=19-Dec-2025, End=0, Cost=0
2025-12-20 16:52:50,335 INFO Row 5: SKU=nan, Desc=IBM Maximo IT per AppPoint Annual SW Subscription & Support Renewal, Qty=280, Start=01-Jan-2027, End=0, Cost=0
2025-12-20 16:52:50,337 INFO Row 6: SKU=nan, Desc=IBM Maximo IT per AppPoint Annual SW Subscription & Support Renewal, Qty=280, Start=01-Jan-2028, End=0, Cost=0
2025-12-20 16:52:50,338 INFO Row 7: SKU=nan, Desc=nan, Qty=nan, Start=nan, End=nan, Cost=nan
2025-12-20 16:54:41,075 INFO Row 1: SKU=nan, Desc=IBM Maximo Application Suite per AppPoint from Eligible Programs Trade Up Licence + SW Subscription & Support 12 Months, Qty=315, Start=19-Dec-2025, End=0, Cost=0
2025-12-20 16:54:41,076 INFO Row 2: SKU=nan, Desc=IBM Maximo Application Suite per AppPoint Annual SW Subscription & Support Renewal, Qty=315, Start=01-Jan-2027, End=0, Cost=0
2025-12-20 16:54:41,077 INFO Row 3: SKU=nan, Desc=IBM Maximo Application Suite per AppPoint Annual SW Subscription & Support Renewal, Qty=315, Start=01-Jan-2028, End=0, Cost=0
2025-12-20 16:54:41,078 INFO Row 4: SKU=nan, Desc=IBM Maximo IT per AppPoint from Eligible Programs Trade Up Licence + SW Subscription & Support 12 Months, Qty=280, Start=19-Dec-2025, End=0, Cost=0
2025-12-20 16:54:41,080 INFO Row 5: SKU=nan, Desc=IBM Maximo IT per AppPoint Annual SW Subscription & Support Renewal, Qty=280, Start=01-Jan-2027, End=0, Cost=0
2025-12-20 16:54:41,082 INFO Row 6: SKU=nan, Desc=IBM Maximo IT per AppPoint Annual SW Subscription & Support Renewal, Qty=280, Start=01-Jan-2028, End=0, Cost=0
2025-12-20 16:54:41,083 INFO Row 7: SKU=nan, Desc=nan, Qty=nan, Start=nan, End=nan, Cost=nan
